Country;GDP - per capita (PPP) ;
;;
Panama ;"$13,000 (2010 est.) 
$12,300 (2009 est.) 
$12,100 (2008 est.) 
note: data are in 2010 US dollars ";13,000
;;#VALUE!
Papua New Guinea ;"$2,500 (2010 est.) 
$2,400 (2009 est.) 
$2,300 (2008 est.) 
note: data are in 2010 US dollars ";2,500
;;#VALUE!
Paraguay ;"$5,200 (2010 est.) 
$4,600 (2009 est.) 
$4,800 (2008 est.) 
note: data are in 2010 US dollars ";5,200
;;#VALUE!
Peru ;"$9,200 (2010 est.) 
$8,600 (2009 est.) 
$8,600 (2008 est.) 
note: data are in 2010 US dollars ";9,200
;;#VALUE!
Philippines ;"$3,500 (2010 est.) 
$3,300 (2009 est.) 
$3,400 (2008 est.) 
note: data are in 2010 US dollars ";3,500
;;#VALUE!
Poland ;"$18,800 (2010 est.) 
$18,100 (2009 est.) 
$17,800 (2008 est.) 
note: data are in 2010 US dollars ";18,800
;;#VALUE!
Portugal ;"$23,000 (2010 est.) 
$22,800 (2009 est.) 
$23,400 (2008 est.) 
note: data are in 2010 US dollars ";23,000
;;#VALUE!
Puerto Rico ;"$16,300 (2010 est.) 
$17,400 (2009 est.) 
$18,100 (2008 est.) 
note: data are in 2010 US dollars ";16,300
;;#VALUE!
Qatar ;"$179,000 (2010 est.) 
$155,400 (2009 est.) 
$144,500 (2008 est.) 
note: data are in 2010 US dollars ";179,000
;;#VALUE!
Romania ;"$11,600 (2010 est.) 
$11,700 (2009 est.) 
$12,600 (2008 est.) 
note: data are in 2010 US dollars ";11,600
;;#VALUE!
Russia ;"$15,900 (2010 est.) 
$15,300 (2009 est.) 
$16,500 (2008 est.) 
note: data are in 2010 US dollars ";15,900
;;#VALUE!
Rwanda ;"$1,100 (2010 est.) 
$1,100 (2009 est.) 
$1,100 (2008 est.) 
note: data are in 2010 US dollars ";1,100
;;#VALUE!
Saint Helena, Ascension, and Tristan da Cunha ;$2,500 (1998 est.) ;2,500
;;#VALUE!
Saint Kitts and Nevis ;"$13,700 (2010 est.) 
$14,000 (2009 est.) 
$15,700 (2008 est.) 
note: data are in 2010 US dollars ";13,700
;;#VALUE!
Saint Lucia ;"$11,200 (2010 est.) 
$11,100 (2009 est.) 
$11,600 (2008 est.) 
note: data are in 2010 US dollars ";11,200
;;#VALUE!
Saint Pierre and Miquelon ;$7,000 (2001 est.) ;7,000
;;#VALUE!
Saint Vincent and the Grenadines ;"$10,300 (2010 est.) 
$10,500 (2009 est.) 
$10,500 (2008 est.) 
note: data are in 2010 US dollars ";10,300
;;#VALUE!
Samoa ;"$5,500 (2010 est.) 
$5,500 (2009 est.) 
$5,900 (2008 est.) 
note: data are in 2010 US dollars ";5,500
;;#VALUE!
San Marino ;"$36,200 (2009) 
$41,900 (2007) ";36,200
;;#VALUE!
Sao Tome and Principe ;"$1,800 (2010 est.) 
$1,700 (2009 est.) 
$1,700 (2008 est.) 
note: data are in 2010 US dollars ";1,800
;;#VALUE!
Saudi Arabia ;"$24,200 (2010 est.) 
$23,700 (2009 est.) 
$23,900 (2008 est.) 
note: data are in 2010 US dollars ";24,200
;;#VALUE!
Senegal ;"$1,900 (2010 est.) 
$1,900 (2009 est.) 
$1,900 (2008 est.) 
note: data are in 2010 US dollars ";1,900
;;#VALUE!
Serbia ;"$10,900 (2010 est.) 
$10,700 (2009 est.) 
$11,000 (2008 est.) 
note: data are in 2010 US dollars ";10,900
;;#VALUE!
Seychelles ;"$23,200 (2010 est.) 
$22,100 (2009 est.) 
$22,200 (2008 est.) 
note: data are in 2010 US dollars ";23,200
;;#VALUE!
Sierra Leone ;"$900 (2010 est.) 
$900 (2009 est.) 
$900 (2008 est.) 
note: data are in 2010 US dollars ";900
;;#VALUE!
Singapore ;"$62,100 (2010 est.) 
$54,800 (2009 est.) 
$55,800 (2008 est.) 
note: data are in 2010 US dollars ";62,100
;;#VALUE!
Sint Maarten ;$15,400 (2008 est.) ;15,400
;;#VALUE!
Slovakia ;"$22,000 (2010 est.) 
$21,100 (2009 est.) 
$22,200 (2008 est.) 
note: data are in 2010 US dollars ";22,000
;;#VALUE!
Slovenia ;"$28,200 (2010 est.) 
$27,900 (2009 est.) 
$30,300 (2008 est.) 
note: data are in 2010 US dollars ";28,200
;;#VALUE!
Solomon Islands ;"$2,900 (2010 est.) 
$2,800 (2009 est.) 
$2,900 (2008 est.) 
note: data are in 2010 US dollars ";2,900
;;#VALUE!
Somalia ;"$600 (2010 est.) 
$600 (2009 est.) 
$600 (2008 est.) 
note: data are in 2010 US dollars ";600
;;#VALUE!
South Africa ;"$10,700 (2010 est.) 
$10,400 (2009 est.) 
$10,600 (2008 est.) 
note: data are in 2010 US dollars ";10,700
;;#VALUE!
Spain ;"$29,400 (2010 est.) 
$29,600 (2009 est.) 
$31,000 (2008 est.) 
note: data are in 2010 US dollars ";29,400
;;#VALUE!
Sri Lanka ;"$5,000 (2010 est.) 
$4,600 (2009 est.) 
$4,400 (2008 est.) 
note: data are in 2010 US dollars ";5,000
;;#VALUE!
Sudan ;"$2,300 (2010 est.) 
$2,200 (2009 est.) 
$2,200 (2008 est.) 
note: data are in 2010 US dollars ";2,300
;;#VALUE!
Suriname ;"$9,700 (2010 est.) 
$9,400 (2009 est.) 
$9,200 (2008 est.) 
note: data are in 2010 US dollars ";9,700
;;#VALUE!
