Overall rank;Country;Happiness Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
131;Myanmar;4.36;0.71;1.181;0.555;0.525;0.566;0.172;17.7;-1.5;5.1;2.2;6300.0;13.5;-3.2;2.93
132;Chad;4.35;0.35;0.766;0.192;0.174;0.198;0.078;43.0;-0.1;4.5;2.9;2300.0;13.5;-1.5;2.13
133;Ukraine;4.332;0.82;1.39;0.739;0.178;0.187;0.01;10.1;4.6;6.7;5.4;8800.0;26.6;-1.5;3.78
134;Ethiopia;4.286;0.336;1.033;0.532;0.344;0.209;0.1;36.0;-0.2;4.0;4.7;2200.0;13.9;-3.2;0.64
135;Eswatini;4.212;0.811;1.149;0.0;0.313;0.074;0.135;25.8;-6.9;7.7;7.1;10100.0;28.6;-8.5;1.5
136;Uganda;4.189;0.332;1.069;0.443;0.356;0.252;0.06;42.4;-0.7;6.2;2.6;2400.0;14.5;-4.1;1.43
137;Egypt;4.166;0.913;1.039;0.644;0.241;0.076;0.067;28.8;-0.4;4.6;;12700.0;17.9;-8.6;1.25
138;Zambia;4.107;0.578;1.058;0.426;0.431;0.247;0.087;41.1;0.0;4.5;;4000.0;17.4;-7.3;1.25
139;Togo;4.085;0.275;0.572;0.41;0.293;0.177;0.085;32.8;0.0;6.6;5.0;1700.0;21.5;-3.8;1.97
140;India;4.015;0.755;0.765;0.588;0.498;0.2;0.085;18.7;0.0;3.7;3.8;7200.0;9.2;-3.5;2.42
141;Liberia;3.975;0.073;0.922;0.443;0.37;0.233;0.033;37.9;-4.7;9.6;3.8;1300.0;16.9;-4.3;0.77
142;Comoros;3.973;0.274;0.757;0.505;0.142;0.275;0.078;25.3;-2.4;7.6;2.5;1600.0;25.3;-6.5;
143;Madagascar;3.933;0.274;0.916;0.555;0.148;0.169;0.041;31.0;0.0;6.0;2.8;1600.0;15.9;-2.7;0.6
144;Lesotho;3.802;0.489;1.169;0.168;0.359;0.107;0.093;24.2;-6.6;8.1;6.4;3300.0;39.7;-6.0;1.81
145;Burundi;3.775;0.046;0.447;0.38;0.22;0.176;0.18;40.9;0.0;6.2;4.8;700.0;15.8;-5.7;1.88
146;Zimbabwe;3.663;0.366;1.114;0.433;0.361;0.151;0.089;34.0;-7.3;9.4;6.1;2300.0;21.5;-9.6;2.17
147;Haiti;3.597;0.323;0.688;0.449;0.026;0.419;0.11;22.6;-2.0;5.4;2.4;1800.0;18.2;-1.0;
148;Botswana;3.488;1.041;1.145;0.538;0.455;0.025;0.1;21.7;3.0;5.5;9.6;17000.0;30.5;-1.0;2.78
149;Syria;3.462;0.619;0.378;0.44;0.013;0.331;0.141;20.7;57.0;;5.1;2900.0;4.2;-8.7;
150;Malawi;3.41;0.191;0.56;0.495;0.443;0.218;0.089;40.7;0.0;9.8;4.0;1200.0;21.7;-3.4;0.85
151;Yemen;3.38;0.287;1.163;0.463;0.143;0.108;0.077;27.6;0.1;5.6;;2500.0;9.0;-5.2;3.98
152;Rwanda;3.334;0.359;0.711;0.614;0.555;0.217;0.411;29.8;-0.5;6.8;3.1;2100.0;21.3;-4.3;1.23
153;Tanzania;3.231;0.476;0.885;0.499;0.417;0.276;0.147;35.3;-0.5;4.1;3.4;3200.0;15.2;-1.8;1.21
154;Afghanistan;3.203;0.35;0.517;0.361;0.0;0.158;0.025;37.5;-0.6;10.2;4.1;2000.0;11.2;-15.1;0.99
155;Central African Republic;3.083;0.026;0.0;0.105;0.225;0.235;0.035;34.0;0.0;4.3;1.2;700.0;14.6;-0.9;1.41
156;South Sudan;2.853;0.306;0.575;0.295;0.01;0.202;0.091;36.9;-29.2;2.5;1.0;1600.0;8.5;-1.3;1.33
